ID,Question Text,Type,Topic,Group ID,Difficulty,Option A,Option B,Option C,Option D,Answer
1,What is the purpose of a process control block?,Theory,Operating Systems,G001,Easy,It stores information about a process such as state, program counter, etc.,A random incorrect answer,Another plausible distractor,Yet another wrong option,A
2,Why is a process control block necessary for context switching?,Theory,Operating Systems,G001,Easy,Yet another wrong option,A random incorrect answer,It allows the OS to save and restore process states during context switches.,Definitely incorrect choice,C
3,What happens during a context switch?,Theory,Operating Systems,G002,Medium,A random incorrect answer,Yet another wrong option,The OS saves the current state of the CPU and loads the state of the next process.,Definitely incorrect choice,C
4,Why is context switching considered expensive?,Theory,Operating Systems,G002,Medium,It requires saving and restoring a lot of CPU state and cache data.,Definitely incorrect choice,Yet another wrong option,A random incorrect answer,A
5,Define virtual memory.,Theory,Operating Systems,G003,Easy,Yet another wrong option,A random incorrect answer,Another plausible distractor,Virtual memory is an abstraction of memory that allows programs to use more memory than physically available.,D
6,What is the main advantage of virtual memory?,Theory,Operating Systems,G003,Easy,Another plausible distractor,It enables efficient and safe memory management, and isolation.,A random incorrect answer,Definitely incorrect choice,B
7,What is a cache miss?,Theory,Computer Architecture,G004,Easy,A cache miss occurs when the requested data is not found in the cache.,Definitely incorrect choice,Yet another wrong option,A random incorrect answer,A
8,What types of cache misses exist?,Theory,Computer Architecture,G004,Medium,Compulsory, capacity, and conflict misses.,A random incorrect answer,Definitely incorrect choice,Yet another wrong option,A
9,Compare L1 and L2 cache.,Theory,Computer Architecture,G005,Medium,Another plausible distractor,L1 is faster and smaller; L2 is larger and slower but closer than main memory.,Yet another wrong option,A random incorrect answer,B
10,Why do CPUs use multiple levels of cache?,Theory,Computer Architecture,G005,Medium,A random incorrect answer,Definitely incorrect choice,To balance speed and cost by using a hierarchy of caches.,Another plausible distractor,C
11,What is a race condition?,Conceptual,Operating Systems,G006,Medium,Definitely incorrect choice,It's when the system's behavior depends on the sequence or timing of threads or processes.,Yet another wrong option,A random incorrect answer,B
12,How can race conditions be prevented?,Conceptual,Operating Systems,G006,Hard,By using synchronization techniques like mutexes and semaphores.,A random incorrect answer,Another plausible distractor,Definitely incorrect choice,A
13,What is pipelining in CPU design?,Theory,Computer Architecture,G007,Medium,Pipelining allows multiple instructions to overlap during execution to improve performance.,Definitely incorrect choice,Another plausible distractor,Yet another wrong option,A
14,What are pipeline hazards?,Theory,Computer Architecture,G007,Hard,A random incorrect answer,They are problems that prevent the next instruction from executing during its clock cycle.,Another plausible distractor,Yet another wrong option,B
15,What is the main function of an OS scheduler?,Theory,Operating Systems,G008,Medium,To determine which process runs next on the CPU.,Yet another wrong option,A random incorrect answer,Definitely incorrect choice,A
16,Which of these is a page replacement algorithm?,Theory,Operating Systems,G009,Easy,Least Recently Used (LRU),Another plausible distractor,A random incorrect answer,Definitely incorrect choice,A
17,What does CPU burst time refer to?,Theory,Operating Systems,G010,Medium,The amount of time the process uses the CPU before doing I/O.,Another plausible distractor,Definitely incorrect choice,Yet another wrong option,A
18,Which instruction causes a trap to the OS?,Theory,Computer Architecture,G011,Medium,A random incorrect answer,Yet another wrong option,A system call instruction,Definitely incorrect choice,C
19,Which component is fastest in the memory hierarchy?,Theory,Computer Architecture,G012,Easy,Registers,Definitely incorrect choice,Another plausible distractor,A random incorrect answer,A
